barcode,name,unit
4895151527522,ปากกาชาร์ปี้ไฟน์ สีแดง *6ด,กล่อง
4746617603,ไหมพรมG-5001-10/15กรัม สีเขียวอ่อน*12,แพ็ค
9556089007719,ปากกาน้ำเงิน0.5(เขียว) GRIP X P5 *10ด,กล่อง
FAH64000702,ธงวชร.80x120cm.*10ผ,แพ็ค
4746617843,เทปผ้า Armstrong 24mmx8 ส้ม (12ม้วน/แพ็ค),แพ็ค
4746617455,ปากกามาร์คเกอร์ Pentel NF450 น้ำเงิน (12ด้าม/กล่อง),กล่อง
4743715,ปากกาสีน้ำซูเปอร์ไซน์เพน เหลือง *12ด*โมนามิ,กล่อง
4746820605,ปากกาไวท์บอร์ด โมนามิ จัมโบ้ หัวตัด สีเขียว (12ด้าม/กล่อง),กล่อง
9555684634511,ปากกาลูกลื่น0.7ดำGrip X7 เฟเบอร์ *10ด,กล่อง
4746821458,บิลเงินสด BOSTON ชนิดคาร์บอนในตัว ประเภท2ชั้น No.1001 (10เล่ม/แพ็ค),แพ็ค
FAH64006442,โบว์ผีเสื้อ30มิลสีม่วง PRM30-5V *10ช,แพ็ค
47465015641,AA สมุดนักเรียน สพฐ เส้นตาราง 80แผ่น (12เล่ม/แพ็ค),โหล
6935840913644,ปากกาลูกลื่น Faster CX510 0.5 น้ำเงิน (12ด้าม/กล่อง),กล่อง
6971169560817,ปากกาลูกลื่น0.5แดง สวีต โหมด LP200 *12ด,กล่อง
47464010941,กระดาษ IdeaWork A3*80แกรม 2500แผ่น*ลัง,ลัง
8809078873736,ปากกาลูกลื่นเจล g'soft101 0.38 แดง *12ด,กล่อง
47464012427,ปากกาเจล0.7มม. Energel*สีดำ*12ด,กล่อง
4005400997765,ปากกาไฮไลท์สีฟ้า เฟเบอร์ *10ด,กล่อง
4746617760,ปากกาลูกลื่น 4274F ด้ามส้ม สเต็ดเล่อร์*10,กล่อง
4005401074335,ปากกาไฮไลท์ FABER-CASTELL Textliner46 สีเหลือง*10ด้าม,กล่อง
28851907278186,ปากกาลบคำผิดเอลเฟ่น โอเชี่ยน *12ช,กล่อง
47464011900,ปากกาลูกลื่น153*การ์ตูน0.5*เขียวกาแลคซี่*12ด.,กล่อง
47465014213,ปากกาลูกลื่น Quantum M5 Pearl หมึกน้ำเงิน 0.5 (50ด้าม/กระบอก),กระบอก
4746618149,ปากกาลบคำผิด ELFEN MAI MAI 4มล. (12ด้าม/กล่อง),กล่อง
8851552201610,ปากกาเคมี2หัว Horse สีน้ำเงิน (12ด้าม/กล่อง),กล่อง
4746617859,เทปผ้า Armstrong 36mmx8 สีเหลือง*8,แพ็ค
4746821015,กระดาษ IQ BRAND Growth Series น้ำตาล A4 80แกรม (2500แผ่น/ลัง),ลัง
4746617479,ปากกา ควอนตั้ม สเก็ต 999 50ด้าม/กระปุก,กระปุก
8802203036983,เน้นข้อความสลิมDONG-A ชมพู BF-16*12,กล่อง
FAH64004515,เข็มตะปู ตราเพชร 10กรัม (12กล่อง/แพ็ค),แพ็ค
FAH64000286,ไส้แฟ้มA4 ORCA SP-040 (100ชิ้น/แพ็ค),แพ็ค
47466016404,กระดาษร้อยปอนด์A4 200g/10แผ่น*5แพ็ค,แพ็ค
47465015932,ปากกาเจล 0.5 น้ำเงิน O-Second-fr*12pcs,กล่อง
18851907030961,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 8 10ด้าม/แพ็ค,แพ็ค
FAH64000222,ใบเสร็จรับเงิน #1 ฟลามิงโก้ *25ล,แพ็ค
4746617486,แฟ้มซองพลาสติก Elephant 405A4 น้ำเงิน (12ชิ้น/แพ็ค),แพ็ค
47466016331,ซองสีแดง no.357 *555 500ซอง,กล่อง
4746617627,ไหมพรมG-5002-11/40กรัม สีเขียวแก่*12,แพ็ค
47464012020,deliลวดเย็บกระดาษ23/23 0014*5ก,แพ็ค
FAH64002475,"ซองน้ำตาล KTV 9x12-3/4"" *50 KA",แพ็ค
18851907030916,พู่กันมาสเตอร์อาร์ต No.3 *10ท,แพ็ค
47465013674,แฟ้มสัมมนา No.4*แพ็ค12,แพ็ค
4746718768,สมุดวาดเขียน KKP เล่มใหญ่ No.D-101 (24เล่ม/แพ็ค),แพ็ค
4746719885,อินเด็กซ์แบ่งตามหัวข้อด้วยสี Elephant 12หัวข้อ No.520 (12ห่อ/แพ็ค),แพ็ค
4742966,42966 ปากกามาร์คเกอร์2หัว275-4 บานเย็น *12ด,กล่อง
8854888010277,ปากกาลูกลื่นน้ำเงินMP873 *50ด,กระปุก
FAH64000705,ธงชาติ40x60cm.*10ผ,แพ็ค
4746718992,ไหมพรมG-5002-12/40กรัม สีดำ*12ชิ้น,แพ็ค
FAH64006859,ถุงหูหิ้วตราดาว บาง 12x20 *10ห่อ,มัด
4746821430,ดินสอดำ Quantum HB QP-9404 (12กล่อง/แพ็ค),แพ็ค
4902506059086,ปากกาลบคำผิด ชนิดหัวปากกา Pentel 4.2มล. ZL102-WBT (12ชิ้น/กล่อง),กล่อง
FAH64000711,ธงชาติ100x150ซม. *10ผ,แพ็ค
4746821577,ผ้าเช็ดมือ 15x30ซม. LY88129 (12ผืน/แพ็ค),แพ็ค
FAH64007884,ถ่านพานาโซนิคAAA RO3NT/2SL *30คู่,กล่อง
47466016533,แฟ้มซองกระดุมF4 MT SFA-OS07 (12ชิ้น/แพ็ค),โหล
47464011392,สมุดร้อยปอนด์A6*เรนาซองซ์(เรียบ)R.207*6ล.,แพ็ค
FAH64000921,กาวแท่งสติ๊กโก้ Elephant NON TOXIC 10g. (30ชิ้น/กล่อง),กล่อง
6935205372185,ปากกาลูกลื่นน้ำเงิน0.7 deli EXTREAM (50ด้าม/กระปุก),กระปุก
FAH64002279,ลวดเสียบ No.1 กลม ตราม้า 10กล่อง/แพ็ค,แพ็ค
47464012011,ใบส่งของSSBNo.2ประเภท2ชั้น*คาร์บอนในตัว*10ล.,แพ็ค
FAH64006444,โบว์ผีเสื้อ30มิลสีเขียว PRM30-7G *10ช,แพ็ค
4746720001,ปากกาเน้นข้อความ SOFTY AL-303 PURPLE (10ด้าม/กล่อง),กล่อง
4746821004,ดินสอดำแฟนซีHB มาสเตอร์อาร์ต Blacklead Pencils No.5 (12กล่อง/แพ็ค),แพ็ค
47466016446,ปากกาลูกลื่น elfen LISO SWING 0.5mm. หมึกน้ำเงิน (50ด้าม/กระปุก),กระปุก
4746617997,พู่กันกลม ไทยแหลมทอง #7 *6,แพ็ค
4746822015,AA สมุดนักเรียน สพฐ บรรทัด5เส้น 40แผ่น (12เล่ม/แพ็ค),แพ็ค
4746820586,ไหมพรมG-5003-12/40กรัม สีคุกกี้สีน้ำตาล (12ชิ้น/แพ็ค),แพ็ค
4746922955,แก้วน้ำพลาสติก No.10(4G) (12ใบ/แพ็ค),แพ็ค
4746820782,ซองซิปคู่A6 DILOK #SRB1006 คละสี (12ชิ้น/แพ็ค),แพ็ค
4746617900,ปากกา ควอนตั้ม เซนส์ 0.29 หมึกดำ 12/แพ็ค,แพ็ค
