code,barcode2,name,unit
18851907222755,,ปากกาแฟนซี ชิโระซู *12ด*ควอนตั้ม,แพ็ค
9555684638717,,ปากกาลูกลื่นเฟเบอร์0.5 RX5 สีน้ำเงิน *30ด,กระปุก
4746718577,,ปูนขาวโรยสนาม GIANT KINGKONG 3kg. (10ถุง/กระสอบ),กระสอบ
FAH64000931,28851907124131,แท่นประทับตราช้าง E04R สีแดง *12อ,แพ็ค
9555684638045,,ปากกาลูกลื่น1423/สีแดง0.5เฟเบอร์ *30ด,กระปุก
4746923076,28851907148465,ลวดเย็บกระดาษ Elephant No.23/8H (20กล่อง),กล่อง
4746923011,5586400018371,ซองซิป Bx B6 No.HX-0100 (10ใบ/แพ็ค),แพ็ค
8802203046524,,ปากกาลูกลื่นน้ำเงิน0.5 Dong-A KNOCK *12ด,กล่อง
FAH64000455,4743689,BRแฟ้มกระดุม A4 MLF003 *12ช,แพ็ค
FAH64001175,4711734890206,ที่เสียบกระดาษชุปโครเมี่ยมSDI 0902 *12อ.,กล่อง
4741805,,ปกรายงานรักษ์โลกLL1410 *12ห,แพ็ค
4746718936,8851907264994,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีแดง (12ชิ้น/แพ็ค),แพ็ค
4741996,,41996 ปากกาหมึกเจลแดง0.5 oni-B111 *12ด,กล่อง
FAH64001202,6970837811800,PRINCO แผ่นDVD-R(50แผ่น),แพ็ค
4746617489,,ปากกาเจลกด0.5 ดำ Domi DM-911*12,กล่อง
4746922732,18851907322455,ดินสอดำ Elephant 2B LIQUID CAT (12กล่อง/แพ็ค),แพ็ค
6941682635125,,ปากกาลูกลื่น 0.5 faster CX512 แดง (12ด้าม/กล่อง),กล่อง
4740318,,สมุดโน๊ตปกแข็งDP153 1*6,แพ็ค
9555684638816,,ปากกาลูกลื่นเฟเบอร์0.5 RX5 สีเขียว *30ด,กระปุก
47464012136,6930126732759,ปากกาลูกลื่น Faster CX511 น้ำเงิน (12ด้าม/กล่อง),กล่อง
47465013562,,ชุดเรขา4ชิ้น DOMON MF-026 คละสี (12แพ็ค/ห่อ),ห่อ
